case,row_index,planet,host_star,orbit_fraction,orbit_quarter,orbital_period_years,semi_major_axis_au,current_distance_au,eccentricity,orbital_speed_m_s,global_temp_k,north_pole_temp_k,equator_temp_k,south_pole_temp_k
minimum_eccentricity_limit,-1,Earth,Sun,0.0,0,1.0,1.0,0.9950000000000001,0.005,29934.487015669267,255.22478573469732,242.22478573469732,271.2247857346973,242.22478573469732
minimum_eccentricity_limit,-1,Earth,Sun,0.25,1,1.0,1.0,1.000024999583346,0.005,29784.442289799154,254.58274198135868,247.94735809972588,269.26237622972536,241.58274198135868
minimum_eccentricity_limit,-1,Earth,Sun,0.5,2,1.0,1.0,1.005,0.005,29636.631423473566,253.95183622381694,240.95183622381694,269.95183622381694,240.95183622381694
minimum_eccentricity_limit,-1,Earth,Sun,0.75,3,1.0,1.0,1.000024999583346,0.005,29784.442289799154,254.58274198135868,241.58274198135868,269.26237622972536,247.94735809972588
midpoint_eccentricity,-1,Earth,Sun,0.0,0,1.0,1.0,0.9684999999999999,0.0315,30738.67429470476,258.6929395274206,245.6929395274206,274.6929395274206,245.6929395274206
midpoint_eccentricity,-1,Earth,Sun,0.25,1,1.0,1.0,1.0009915944070382,0.0315,29755.666701787846,254.45979499744467,247.82441111581187,269.13942924581136,241.45979499744467
midpoint_eccentricity,-1,Earth,Sun,0.5,2,1.0,1.0,1.0314999999999999,0.0315,28861.275864684012,250.66850570979196,237.66850570979196,266.66850570979193,237.66850570979196
midpoint_eccentricity,-1,Earth,Sun,0.75,3,1.0,1.0,1.0009915944070382,0.0315,29755.666701787846,254.45979499744467,241.45979499744467,269.13942924581136,247.82441111581187
maximum_eccentricity_limit,-1,Earth,Sun,0.0,0,1.0,1.0,0.942,0.058,31565.866251997377,262.306430089911,249.30643008991098,278.306430089911,249.30643008991098
maximum_eccentricity_limit,-1,Earth,Sun,0.25,1,1.0,1.0,1.0033564859754869,0.058,29685.380553846062,254.15973971274195,247.52435583110912,268.83937396110866,241.15973971274195
maximum_eccentricity_limit,-1,Earth,Sun,0.5,2,1.0,1.0,1.058,0.058,28104.95842096553,247.50931852587158,234.50931852587158,263.50931852587155,234.50931852587158
maximum_eccentricity_limit,-1,Earth,Sun,0.75,3,1.0,1.0,1.0033564859754869,0.058,29685.380553846062,254.15973971274195,241.15973971274195,268.83937396110866,247.52435583110912
